2026-03-28 17:43:03,686 | INFO | app | Loading existing vector store from data\gold\KPN-integrated-annual-report-2024_2025
2026-03-28 17:43:03,690 | INFO | src.utils.web_scraper | Loading URLs from c:\Akash\Career\tests\kpn\data\bronze\urls.txt
2026-03-28 17:43:03,692 | INFO | src.utils.web_scraper | Loaded 5 URLs
2026-03-28 17:43:03,693 | INFO | src.utils.web_scraper | [0] Processing URL: https://www.overons.kpn/nieuws/en/kpn-cla-2026-2027-new-arrangement-for-reservists/
2026-03-28 17:43:04,197 | INFO | src.utils.web_scraper | [1] Processing URL: https://www.overons.kpn/nieuws/en/kpn-best-mobile-network-in-the-netherlands-for-the-fifth-time-with-the-highest-score-worldwide/
2026-03-28 17:43:04,691 | INFO | src.utils.web_scraper | [2] Processing URL: https://www.overons.kpn/nieuws/en/kpn-launches-queryable-infrastructure-kpn-campus/
2026-03-28 17:43:05,164 | INFO | src.utils.web_scraper | [3] Processing URL: https://www.overons.kpn/nieuws/en/kpn-recognized-as-provider-with-the-best-digital-customer-experience/
2026-03-28 17:43:05,622 | INFO | src.utils.web_scraper | [4] Processing URL: https://www.overons.kpn/nieuws/en/king-and-minister-of-economic-affairs-on-a-working-visit-to-kpn-a-look-behind-the-scenes-of-digital-resilience/
2026-03-28 17:43:06,062 | INFO | src.utils.web_scraper | Successfully created 5 documents
2026-03-28 17:43:06,076 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:43:06,525 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:43:06,525 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:43:06,938 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:43:06,943 | INFO | app | Loading existing vector store from data\gold\KPN-news-articles
2026-03-28 17:45:00,763 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:45:01,588 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:45:01,589 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:45:02,089 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:45:14,269 | INFO | src.utils.pdf_parser | Checking SILVER for: KPN-integrated-annual-report-2024_2025.jsonl
2026-03-28 17:45:14,269 | INFO | src.utils.pdf_parser | JSONL found in SILVER. Loading documents
2026-03-28 17:45:14,269 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:45:14,738 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:45:14,738 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:45:15,157 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:45:15,157 | INFO | app | Loading existing vector store from data\gold\KPN-integrated-annual-report-2024_2025
2026-03-28 17:45:15,157 | INFO | src.utils.web_scraper | Loading URLs from c:\Akash\Career\tests\kpn\data\bronze\urls.txt
2026-03-28 17:45:15,157 | INFO | src.utils.web_scraper | Loaded 5 URLs
2026-03-28 17:45:15,157 | INFO | src.utils.web_scraper | [0] Processing URL: https://www.overons.kpn/nieuws/en/kpn-cla-2026-2027-new-arrangement-for-reservists/
2026-03-28 17:45:15,709 | INFO | src.utils.web_scraper | [1] Processing URL: https://www.overons.kpn/nieuws/en/kpn-best-mobile-network-in-the-netherlands-for-the-fifth-time-with-the-highest-score-worldwide/
2026-03-28 17:45:16,234 | INFO | src.utils.web_scraper | [2] Processing URL: https://www.overons.kpn/nieuws/en/kpn-launches-queryable-infrastructure-kpn-campus/
2026-03-28 17:45:16,752 | INFO | src.utils.web_scraper | [3] Processing URL: https://www.overons.kpn/nieuws/en/kpn-recognized-as-provider-with-the-best-digital-customer-experience/
2026-03-28 17:45:17,325 | INFO | src.utils.web_scraper | [4] Processing URL: https://www.overons.kpn/nieuws/en/king-and-minister-of-economic-affairs-on-a-working-visit-to-kpn-a-look-behind-the-scenes-of-digital-resilience/
2026-03-28 17:45:17,830 | INFO | src.utils.web_scraper | Successfully created 5 documents
2026-03-28 17:45:17,830 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:45:18,236 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:45:18,236 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:45:18,658 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
